bug_id,severity,file_path,line_numbers,title,description,evidence,impact,status
BUG-001,CRITICAL,"options-bot/ml/ev_filter.py","376-421","0DTE theta cost is always zero","For scalp preset: max_hold_days=0 and dte=0, so hold_days_effective = min(0, 0) = 0. theta_cost = abs(theta) * 0 * theta_accel = 0. The EV formula completely ignores theta decay for 0DTE options, producing wildly inflated EVs (1000%+).","Runtime log: EV=1246.2% on $0.01 CALL $692 when SPY=$679. hold_days_effective=min(0,0)=0 from config max_hold_days=0 and dte=0.","Bot selects deeply OTM penny options with unrealistic EVs. Only saved by liquidity filter rejecting 98% of these. If a penny option passes liquidity, bot enters a near-certain loss.",OPEN
BUG-002,HIGH,"options-bot/db/options_bot.db","models table rows 2-3","Orphaned model records — file_path points to nonexistent .joblib","Models 8b4987ee and 385f4ea1 have status='ready' but their .joblib files do not exist on disk. Only 171859fb exists. If profile model_id were ever updated to point at these, model loading would crash.","ls options-bot/models/ shows only 2 .joblib files. DB has 4 model records. Python check: os.path.exists() returns False for 8b4987ee and 385f4ea1 paths.",Potential crash if stale model IDs are referenced. Data integrity issue.,OPEN
BUG-003,HIGH,"options-bot/ml/ev_filter.py","356-358","EV filter bid-ask spread check is dead code","bid and ask are hardcoded to None (line 356-357). The spread filter (lines 359-374) can NEVER fire. All spread filtering is deferred to post-scan liquidity_filter, but that only checks the BEST contract, not all candidates. A high-spread contract could beat a low-spread one on raw EV.","Code: line 356 'bid = None', line 357 'ask = None'. The if-block at line 359 is unreachable.",Spread cost is never factored into EV scoring within the scanner. The best-EV contract may have terrible liquidity.,OPEN
BUG-004,HIGH,"options-bot/strategies/base_strategy.py","1014-1056","Signal logs for entered trades have step_stopped_at=None","When a trade IS entered, _write_signal_log is called with entered=True but step_stopped_at is not set (defaults to None). DB confirms: all entered=1 rows have step_stopped_at=NULL.","DB query: SELECT step_stopped_at FROM signal_logs WHERE entered=1 — all return NULL. Code at line ~1580: self._write_signal_log(entered=True, trade_id=trade_id) — no step_stopped_at arg.",Minor data quality issue — cannot easily query what step successful entries reached.,OPEN
BUG-005,MEDIUM,"options-bot/ml/ev_filter.py","336-337","Fallback Greeks estimate gamma as constant and theta as rough approximation","When broker Greeks fail (very common for 0DTE per log evidence), gamma is set to 0.015 (ATM) or 0.005 (OTM) regardless of actual moneyness/expiry. Theta is estimated as -(underlying_price * 0.0007) which for SPY ~$680 = -$0.476/day. Real 0DTE theta can be 10-50x higher.","Runtime log shows 50 out of 50 scored candidates used fallback Greeks today. The fallback theta of $0.476 is far below real 0DTE theta.","EV calculations use inaccurate Greeks, further inflating EVs for short-dated options.",OPEN
BUG-006,MEDIUM,"options-bot/strategies/base_strategy.py","varies","Model health: live accuracy 47.4% vs training 62.7%","Scalp model shows 47.4% live accuracy (9/19 correct) — below random 50%. Training accuracy was 62.7%. Model may be overfit or market regime has changed.","DB system_state model_health row: rolling_accuracy=0.4737, correct_predictions=9, total_predictions=19. Training metrics: acc_all=0.6268.","Bot is trading on a model that performs worse than coin flip in live conditions.",OPEN
BUG-007,LOW,"options-bot/data/options_bot.db vs options-bot/db/options_bot.db","N/A","Two database files — data/ copy is empty","options-bot/data/options_bot.db exists but has 0 tables. The real DB is at options-bot/db/options_bot.db. Stale empty file could confuse debugging.","sqlite3 connect to data/options_bot.db returns empty table list. db/options_bot.db has all 8 tables.","Confusion during debugging. No runtime impact since config.py points to db/ path.",OPEN
BUG-008,LOW,"options-bot/start_bot.bat","4-8","Browser opens before backend starts","start_bot.bat opens localhost:8000 and localhost:8000/system BEFORE python main.py starts. The 3-second timeout is before the second URL, not before main.py. User sees connection refused in browser.","Code: line 4 'start http://localhost:8000' then line 6 'start http://localhost:8000/system' then line 7 'python main.py'. Browser opens before Python starts.","Poor UX on startup. User must manually refresh browser.",OPEN
BUG-009,MEDIUM,"options-bot/ml/feedback_queue.py + training_queue table","N/A","Feedback queue samples never consumed","training_queue has 2 rows, both with consumed=0. No code path appears to consume these samples for incremental retraining.","DB: SELECT consumed FROM training_queue — both rows show consumed=0, consumed_at=NULL.","Feedback loop is non-functional. Completed trade outcomes are logged but never used for model improvement.",OPEN
BUG-010,MEDIUM,"options-bot/strategies/base_strategy.py","trade #3 in DB","Entry Greeks show theta=0.0 vega=0 iv=0 for live trade","Trade 8991d423 (today's SPY 666 PUT) has entry_greeks with theta=0.0, vega=0, iv=0. The Greeks fallback estimated delta but left other Greeks at zero/null.","DB trades table: entry_greeks={'delta': -0.1701, 'gamma': 0.015, 'theta': 0.0, 'vega': 0, 'iv': 0} for trade_id 8991d423.","Portfolio risk calculations (delta limit check) work with partial data. Theta/vega exposure is invisible to risk management.",OPEN
BUG-011,HIGH,"options-bot/strategies/base_strategy.py","~990","Feedback queue actual_return_pct uses option PnL% not underlying return","enqueue_completed_sample passes pnl_pct (option P&L %) as actual_return_pct. But the model predicts UNDERLYING return %. A +20% option gain might correspond to only +0.5% underlying move. This mismatch means feedback data cannot be used to validate model accuracy.","Code: actual_return_pct=pnl_pct at line ~992. pnl_pct is calculated from option prices (line 940-944), not underlying prices.","Feedback queue data is semantically wrong — model predicts underlying % but feedback stores option %. Incremental retraining on this data would corrupt the model.",OPEN
