item_id,item_type,item_name,value_or_path,defined_in,line_number,used_in,default_value,is_secret,is_mutable,description,evidence_refs,verdict
CFG-001,config_var,PROJECT_ROOT,Path(__file__).parent,config.py,16,"main.py; options_data_fetcher.py; all modules via import",N/A,FALSE,FALSE,Root directory of the options-bot package,config.py:16,PASS
CFG-002,config_var,DB_PATH,PROJECT_ROOT / db / options_bot.db,config.py,17,"main.py; database.py; app.py; base_strategy.py; risk_manager.py; all route modules; all trainers; feedback_queue.py; db_log_handler.py",N/A,FALSE,FALSE,SQLite database file path,config.py:17,PASS
CFG-003,config_var,MODELS_DIR,PROJECT_ROOT / models,config.py,18,"trainer.py; scalp_trainer.py; lgbm_trainer.py; swing_classifier_trainer.py; tft_trainer.py; ensemble_predictor.py; incremental_trainer.py",N/A,FALSE,FALSE,Directory for saved model artifacts,config.py:18,PASS
CFG-004,config_var,LOGS_DIR,PROJECT_ROOT / logs,config.py,19,"main.py; base_strategy.py; backtest.py; walk_forward_backtest.py",N/A,FALSE,FALSE,Directory for log files and backtest results,config.py:19,PASS
CFG-005,config_var,ALPACA_BASE_URL,https://paper-api.alpaca.markets | https://api.alpaca.markets,config.py,27,alpaca_provider.py,Depends on ALPACA_PAPER,FALSE,FALSE,Alpaca API base URL (paper or live based on ALPACA_PAPER),config.py:27,PASS
CFG-006,config_var,ALPACA_DATA_URL,https://data.alpaca.markets,config.py,28,alpaca_provider.py,https://data.alpaca.markets,FALSE,FALSE,Alpaca market data endpoint,config.py:28,PASS
CFG-007,config_var,THETA_BASE_URL_V3,http://{THETA_HOST}:{THETA_PORT}/v3,config.py,35,"theta_provider.py; options_data_fetcher.py",Derived from env vars,FALSE,FALSE,Theta Data Terminal V3 API URL,config.py:35,PASS
CFG-008,config_var,THETA_BASE_URL_V2,http://{THETA_HOST}:25510/v2,config.py,36,theta_provider.py,Hardcoded port 25510,FALSE,FALSE,Theta Data Terminal V2 API URL — port 25510 is hardcoded not from env,config.py:36,FAIL
CFG-009,config_var,API_HOST,127.0.0.1,config.py,43,main.py; app.py,127.0.0.1,FALSE,FALSE,Backend FastAPI listen address,config.py:43,PASS
CFG-010,config_var,API_PORT,8000,config.py,44,main.py; app.py,8000,FALSE,FALSE,Backend FastAPI listen port,config.py:44,PASS
CFG-011,config_var,PHASE1_SYMBOLS,["TSLA"],config.py,49,Not directly imported,N/A,FALSE,FALSE,Phase 1 validated symbols,config.py:49,PASS
CFG-012,config_var,ALL_SYMBOLS,"[""TSLA"", ""NVDA"", ""UNH"", ""SPY""]",config.py,50,app.py; strategy modules,N/A,FALSE,FALSE,All supported trading symbols,config.py:50,PASS
CFG-013,config_var,PRESET_DEFAULTS,Dict with swing/general/scalp presets,config.py,55-139,"main.py; app.py; trainer modules; backtest.py; walk_forward_backtest.py",N/A,FALSE,TRUE,Default config per preset — overridden by DB profile configs at runtime,config.py:55-139,PASS
CFG-014,config_var,PRESET_MODEL_TYPES,Dict mapping preset to valid model types,config.py,146-150,backend/routes/models.py; schemas.py,N/A,FALSE,FALSE,Valid model types per preset for dropdown and validation,config.py:146-150,PASS
CFG-015,config_var,MIN_OPEN_INTEREST,100,config.py,160,liquidity_filter.py,100,FALSE,FALSE,Minimum open interest for option contract,config.py:160,PASS
CFG-016,config_var,MIN_OPTION_VOLUME,50,config.py,161,liquidity_filter.py,50,FALSE,FALSE,Minimum daily volume for option contract,config.py:161,PASS
CFG-017,config_var,EARNINGS_BLACKOUT_DAYS_BEFORE,2,config.py,166,earnings_calendar.py; base_strategy.py,2,FALSE,FALSE,Skip entry if earnings within N days before,config.py:166,PASS
