text_id,page,component,element_type,visible_text,file_path,line_number,verdict
TXT-001,Layout,Layout,logo_text,OB,options-bot/ui/src/components/Layout.tsx,32,PASS
TXT-002,Layout,Layout,brand_name,OptionsBot,options-bot/ui/src/components/Layout.tsx,34,PASS
TXT-003,Layout,Layout,status_text,"v${health.version} — online",options-bot/ui/src/components/Layout.tsx,39,PASS
TXT-004,Layout,Layout,status_text,connecting...,options-bot/ui/src/components/Layout.tsx,39,PASS
TXT-005,Layout,Layout,nav_label,Dashboard,options-bot/ui/src/components/Layout.tsx,9,PASS
TXT-006,Layout,Layout,nav_label,Profiles,options-bot/ui/src/components/Layout.tsx,10,PASS
TXT-007,Layout,Layout,nav_label,Trade History,options-bot/ui/src/components/Layout.tsx,11,PASS
TXT-008,Layout,Layout,nav_label,Signal Logs,options-bot/ui/src/components/Layout.tsx,12,PASS
TXT-009,Layout,Layout,nav_label,System Status,options-bot/ui/src/components/Layout.tsx,13,PASS
TXT-010,Layout,Layout,footer_text,API: localhost:8000,options-bot/ui/src/components/Layout.tsx,72,PASS
TXT-011,Dashboard,PageHeader,heading,Dashboard,options-bot/ui/src/pages/Dashboard.tsx,430,PASS
TXT-012,Dashboard,PageHeader,subtitle,Live overview — refreshes every 30 seconds,options-bot/ui/src/pages/Dashboard.tsx,431,PASS
TXT-013,Dashboard,Dashboard,button_label,Refresh,options-bot/ui/src/pages/Dashboard.tsx,439,PASS
TXT-014,Dashboard,StatCard,stat_label,Portfolio Value,options-bot/ui/src/pages/Dashboard.tsx,447,PASS
TXT-015,Dashboard,StatCard,sub_text,Alpaca paper account,options-bot/ui/src/pages/Dashboard.tsx,449,PASS
TXT-016,Dashboard,StatCard,stat_label,Total P&L,options-bot/ui/src/pages/Dashboard.tsx,454,PASS
TXT-017,Dashboard,StatCard,sub_text,${tradeStats?.closed_trades ?? 0} closed trades,options-bot/ui/src/pages/Dashboard.tsx,456,PASS
TXT-018,Dashboard,StatCard,stat_label,Open Positions,options-bot/ui/src/pages/Dashboard.tsx,460,PASS
TXT-019,Dashboard,StatCard,stat_value,${totalPositions} / ${MAX_TOTAL_POSITIONS},options-bot/ui/src/pages/Dashboard.tsx,461,PASS
TXT-020,Dashboard,StatCard,sub_text,${activeProfiles} active profile(s),options-bot/ui/src/pages/Dashboard.tsx,462,PASS
TXT-021,Dashboard,StatCard,stat_label,Win Rate,options-bot/ui/src/pages/Dashboard.tsx,466,PASS
TXT-022,Dashboard,StatCard,sub_text,${tradeStats?.win_count ?? 0}W / ${tradeStats?.loss_count ?? 0}L,options-bot/ui/src/pages/Dashboard.tsx,472,PASS
TXT-023,Dashboard,StatCard,stat_label,Training Queue,options-bot/ui/src/pages/Dashboard.tsx,476,PASS
TXT-024,Dashboard,StatCard,sub_text,Ready to retrain,options-bot/ui/src/pages/Dashboard.tsx,478,PASS
TXT-025,Dashboard,StatCard,sub_text,Collecting samples,options-bot/ui/src/pages/Dashboard.tsx,478,PASS
TXT-026,Dashboard,Dashboard,alert_heading,PDT Limit Reached,options-bot/ui/src/pages/Dashboard.tsx,489,PASS
